library,type,old_version,new_version,commit_date
commons-collectionscommons-collections,"add","","3.2.1",2016-08-23T11:09:24Z
org.apache.cxfcxf-rt-frontend-jaxws,"add","","2.7.18",2016-09-21T10:14:05Z
commons-langcommons-lang,"add","","2.6",2016-09-05T10:51:58Z
org.apache.httpcomponentshttpclient,"update","4.3.6","4.4.1",2016-09-02T13:56:06Z
log4jlog4j,"add","","1.2.17",2016-08-23T11:09:24Z
org.apache.cxfcxf-api,"add","","2.7.18",2016-09-21T10:14:05Z
org.apache.cxfcxf-rt-transports-http,"add","","2.7.18",2016-09-21T10:14:05Z
commons-poolcommons-pool,"add","","1.6",2016-09-05T10:51:58Z
org.apache.lucenelucene-analyzers,"add","","3.6.2",2016-09-06T13:33:34Z
joda-timejoda-time,"add","","2.9.2",2016-09-05T10:51:58Z
info.cukescucumber-java,"add","","1.2.4",2016-09-23T06:32:39Z
commons-dbutilscommons-dbutils,"remove","1.6","",2016-09-29T09:55:08Z
commons-dbutilscommons-dbutils,"add","","1.6",2016-09-05T10:51:58Z
commons-dbcpcommons-dbcp,"add","","1.4",2016-09-05T10:51:58Z
org.seleniumhq.seleniumselenium-java,"add","","2.48.2",2016-08-24T13:06:20Z
commons-httpclientcommons-httpclient,"add","","3.1",2016-08-23T11:09:24Z
org.slf4jslf4j-log4j12,"add","","1.7.7",2016-08-23T11:09:24Z
com.alibabafastjson,"add","","1.2.7",2016-09-05T06:07:01Z
org.jsoupjsoup,"add","","1.8.3",2016-09-05T06:07:01Z
org.apache.lucenelucene-queryparser,"add","","5.4.0",2016-09-06T13:33:34Z
org.apache.httpcomponentshttpcore,"add","","4.4.1",2016-09-02T13:56:06Z
mysqlmysql-connector-java,"add","","5.1.38",2016-09-05T10:51:58Z
org.testngtestng,"add","","6.9.6",2016-08-24T13:06:20Z
org.apache.lucenelucene-queries,"add","","5.4.0",2016-09-06T13:33:34Z
org.apache.lucenelucene-core,"add","","5.4.0",2016-09-06T13:33:34Z
info.cukescucumber-junit,"add","","1.2.4",2016-09-23T06:32:39Z
org.apache.lucenelucene-analyzers-common,"add","","5.4.0",2016-09-06T13:33:34Z
